stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart
49,0.5,1.5,47.72453783299716,,47.71319437499915,47.72453783299716,48.207909832999576,48.207909832999576,48.21214841598703,48.494800290995045,48.71003466598631,right,1.5,1,1,0.49842308400548063,576925,001,2024-09-12_21h19.21.850,adaptive_staircase,2024.1.5,None,2024-09-12 21h19.26.489753 +0530
50,0.5,1.5,48.71897837499273,,48.710180374997435,48.71897837499273,49.20803149999119,49.20803149999119,49.21230837499024,49.49549666600069,49.76060129099642,right,1.5,1,1,0.5486435829952825,576925,001,2024-09-12_21h19.21.850,adaptive_staircase,2024.1.5,None,2024-09-12 21h19.26.489753 +0530
51,0.5,1,49.76948733298923,,49.76077649999934,49.76948733298923,50.25809862499591,50.25809862499591,50.26247999999032,50.54514487499546,51.07668966599158,left,-1,0,0,0.8070686670107534,576925,001,2024-09-12_21h19.21.850,adaptive_staircase,2024.1.5,None,2024-09-12 21h19.26.489753 +0530
52,0.5,1.5,51.08549929098808,,51.076850457990076,51.08549929098808,51.57484920798743,51.57484920798743,51.57922929099004,51.862622124986956,52.14747812499991,left,-1.5,0,0,0.5692841249983758,576925,001,2024-09-12_21h19.21.850,adaptive_staircase,2024.1.5,None,2024-09-12 21h19.26.489753 +0530
53,0.5,2,52.15770245798922,,52.14760316599859,52.15770245798922,52.64523337499122,52.64523337499122,52.64523337499122,52.94169987499481,53.19351854099659,right,2,1,1,0.5429447499918751,576925,001,2024-09-12_21h19.21.850,adaptive_staircase,2024.1.5,None,2024-09-12 21h19.26.489753 +0530
54,0.5,2,53.20175995799946,,53.19368291599676,53.20175995799946,53.69157587499649,53.69157587499649,53.69586108298972,53.978615207990515,54.76026662498771,left,-2,1,1,1.057324499997776,576925,001,2024-09-12_21h19.21.850,adaptive_staircase,2024.1.5,None,2024-09-12 21h19.26.489753 +0530
55,0.5,2,54.76841508298821,,54.76041183299094,54.76841508298821,55.25835299999744,55.25835299999744,55.26270145799208,55.54513224998664,55.72806108299119,right,2,1,1,0.45949212499544956,576925,001,2024-09-12_21h19.21.850,adaptive_staircase,2024.1.5,None,2024-09-12 21h19.26.489753 +0530
56,0.5,1.5,55.73678979098622,,55.728233624991844,55.73678979098622,56.225031333000516,56.225031333000516,56.22923629099387,56.511801790999016,56.847435124989715,left,-1.5,1,1,0.6203424579871353,576925,001,2024-09-12_21h19.21.850,adaptive_staircase,2024.1.5,None,2024-09-12 21h19.26.489753 +0530
57,0.5,1.5,56.85815095799626,,56.84755608299747,56.85815095799626,57.34167974999582,57.34167974999582,57.34662133299571,57.628653583000414,57.780726332988706,left,-1.5,1,1,0.4368046250019688,576925,001,2024-09-12_21h19.21.850,adaptive_staircase,2024.1.5,None,2024-09-12 21h19.26.489753 +0530
58,0.5,1.5,57.791528999994625,,57.78084645798663,57.791528999994625,58.279076957987854,58.279076957987854,58.279076957987854,58.57525004098716,58.71413242,left,-1.5,1,1,0.43178441700001713,576925,001,2024-09-12_21h19.21.850,adaptive_staircase,2024.1.5,None,2024-09-12 21h19.26.489753 +0530
59,0.5,1,58.72488916599832,,58.71425383299356,58.72488916599832,59.21248912499868,59.21248912499868,59.21248912499868,59.508611249999376,59.527216624992434,left,-1,1,1,0.3109149589872686,576925,001,2024-09-12_21h19.21.850,adaptive_staircase,2024.1.5,None,2024-09-12 21h19.26.489753 +0530
60,0.5,1,59.53538704098901,,59.52736374999222,59.53538704098901,60.025284249990364,60.025284249990364,60.029638874999364,60.31856624998909,60.31072137498995,right,1,0,0,0.2796763749938691,576925,001,2024-09-12_21h19.21.850,adaptive_staircase,2024.1.5,None,2024-09-12 21h19.26.489753 +0530
